voltage time control
24.59 46.64760231971741 1896.8276236682436
24.61 46.746337890625 1870.7224042800303
24.64 46.847158670425415 1818.4681064137994
24.66 46.943814277648926 1805.7403761512621
24.68 47.04354763031006 1775.8204042807267
24.71 47.1412787437439 1722.9081063713074
24.73 47.240015745162964 1709.4173761714658
24.75 47.33775520324707 1678.8394042810467
24.77 47.436490058898926 1651.001404252962
24.79 47.53622245788574 1626.218376171911
24.81 47.63502907752991 1595.076404252684
24.84 47.733134031295776 1540.9421064119838
24.86 47.82888078689575 1526.0343761719023
24.88 47.93359851837158 1494.2344042532031
24.9 48.03089880943298 1464.9356236693009
24.92 48.12655162811279 1439.1391818306477
24.95 48.22736978530884 1380.8761064118803
24.97 48.32410478591919 1361.5646236693742
24.98 48.423765420913696 1359.1990909228718
25.0 48.522504568099976 1316.7846236693445
25.02 48.62222743034363 1286.825404279451
25.03 48.72272348403931 1282.1817021470265
25.05 48.823344469070435 1243.9263761514812
25.06 48.91743350028992 1236.0727021470955
25.08 49.01616382598877 1197.4903761517307
25.09 49.114898443222046 1189.3547021472132
25.1 49.21263599395752 1173.414702146801
25.12 49.31163835525513 1131.6484042536558
25.13 49.40970230102539 1127.333688092721
25.14 49.51043367385864 1109.5537021348741
25.15 49.61327838897705 1093.1437021474412
25.16 49.70591378211975 1077.8636880922784
25.17 49.8056526184082 1059.8017021346607
25.18 49.905457735061646 1043.013311842866
25.19 50.00211763381958 1027.5850909238586
25.2 50.10089826583862 1009.1577021474066
25.21 50.201584815979004 992.0903118424434
25.22 50.3013219833374 976.3320909234903
25.23 50.398165702819824 957.5313118429015
25.23 50.4959511756897 966.1220000147572
25.24 50.59466767311096 938.2277021460761
25.24 50.692322969436646 946.2500000152521
25.25 50.791359186172485 918.261702146521
25.26 50.892014026641846 900.8177021353049
25.26 50.98880624771118 908.6220000147558
25.27 51.08548903465271 880.4457021459517
25.27 51.185224533081055 888.5460000156893
25.27 51.28296995162964 885.6030000142057
25.27 51.38469576835632 883.0650000162426
25.27 51.481475591659546 880.5270000151362
25.27 51.58016753196716 877.5840000136526
25.27 51.675909757614136 875.0460000156894
25.27 51.77365446090698 872.5350000158654
25.27 51.87242937088013 869.997000014759
25.27 51.97012758255005 867.0270000151361
25.26 52.07188034057617 890.3616881880971
25.26 52.16928577423096 877.1650000142371
25.26 52.26706385612488 874.3310000158351
25.26 52.36676621437073 871.8870000147696
25.25 52.467498779296875 895.175297881452
25.25 52.56423783302307 881.8120000152843
25.24 52.6619713306427 905.1942978820075
25.24 52.75978946685791 892.3000000161137
25.23 52.85947012901306 915.7762978828688
25.22 52.95720672607422 926.9143119359435
25.22 53.055946826934814 915.672000015621
25.21 53.155681848526 939.4716881885496
25.2 53.25442171096802 950.6099091081018
25.19 53.35522127151489 965.3712978829558
25.19 53.451889991760254 952.966000015379
25.18 53.551624059677124 975.0769091076978
25.17 53.650352478027344 990.1576881885352
25.16 53.74909472465515 1003.5392978827917
25.15 53.84682893753052 1015.3419091073641
25.14 53.94356894493103 1030.701688188182
25.13 54.04354906082153 1044.3652978825614
25.12 54.14526891708374 1056.5933119473689
25.11 54.24101996421814 1072.0232978828476
