temp time control
27.49 29.003350734710693 -470.04870210611625
27.47 29.09810185432434 -462.152623639793
27.45 29.196840047836304 -472.4261817978371
27.44 29.29757046699524 -492.905702124264
27.42 29.396301984786987 -484.5446236447943
27.41 29.492044925689697 -508.0657021325572
27.39 29.591781854629517 -506.4063761220137
27.37 29.690517902374268 -505.75640425987854
27.35 29.78832244873047 -507.84640426950875
27.34 29.893017530441284 -535.4546880587484
27.32 29.98672604560852 -525.1604042646312
27.3 30.08345890045166 -526.7804042209308
27.28 30.184192180633545 -534.5603761512538
27.26 30.28194785118103 -532.876404269071
27.25 30.380748510360718 -554.6647021066217
27.23 30.48040795326233 -551.2613761557942
27.21 30.580140352249146 -549.1074042213285
27.19 30.677871465682983 -549.6934042566533
27.17 30.77661108970642 -556.2743761600216
27.15 30.87434697151184 -553.5564042260013
27.13 30.973082065582275 -553.136623640779
27.11 31.073816061019897 -559.670181799298
27.09 31.170559883117676 -556.2214042565847
27.07 31.270408868789673 -555.2436236450476
27.05 31.368026733398438 -561.1171818036504
27.03 31.46788239479065 -556.6726236408614
27.01 31.563510417938232 -555.7954042592866
26.98 31.66524052619934 -533.7691063996946
26.96 31.76297903060913 -548.6993761271992
26.94 31.861706495285034 -544.0074042633021
26.92 31.959446907043457 -542.0554042224684
26.9 32.05818247795105 -545.6933761506965
26.87 32.15492296218872 -519.7051063992202
26.85 32.254658699035645 -527.7334042266151
26.83 32.35339117050171 -530.6083761544586
26.8 32.45212769508362 -503.9621063422154
26.78 32.55097007751465 -511.33240425673597
26.76 32.64861345291138 -507.471623645401
26.73 32.74734711647034 -490.7342727123842
26.71 32.84806942939758 -492.4046236418686
26.68 32.945810317993164 -467.7871063912353
26.65 33.04455089569092 -460.57927271584686
26.63 33.14328074455261 -461.50562364538354
26.61 33.24708580970764 -462.539181804601
26.58 33.34175229072571 -433.1569354693051
26.56 33.44148230552673 -438.8024042586846
26.54 33.54022216796875 -438.8371818078119
26.52 33.638954877853394 -429.64962364535523
26.49 33.73769474029541 -403.24610639394336
26.47 33.83651781082153 -407.7024042242088
26.44 33.93517446517944 -387.1520642279394
26.42 34.03390574455261 -386.7464042642931
26.4 34.13264060020447 -379.9064042273749
26.38 34.23145794868469 -377.87637615275634
26.35 34.334105014801025 -347.0001063439045
26.33 34.42984580993652 -350.14040425657373
26.31 34.530574560165405 -347.34737615522033
26.28 34.62631440162659 -315.81310634689663
26.26 34.72604775428772 -317.94062364311367
26.24 34.823790550231934 -314.9041818028412
26.21 34.92053031921387 -282.5451063888263
26.19 35.020302295684814 -284.02162364556364
26.17 35.121992349624634 -280.2151818053959
26.14 35.217777729034424 -246.7409354703869
26.12 35.316468954086304 -248.25040425796328
26.1 35.41385865211487 -238.59040426247134
26.08 35.513590812683105 -233.29037612767382
26.06 35.60932731628418 -220.3264042601739
26.03 35.70807075500488 -189.37010634518023
26.01 35.80883836746216 -193.94537614940063
25.98 35.90554094314575 -159.59110639426672
25.96 36.003276348114014 -159.25340422837942
25.94 36.10201406478882 -152.42737615133947
